ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
151EBD,RA-73405,A320,Airbus,A320-214,Airbus A320-214,0,S7 Airlines,SBI,5607,2013
151EBF,RA-73407,A320,Airbus,A320-214,Airbus A320-214,0,S7 Airlines,SBI,4150,2009
151EC0,RA-73408,B738,Boeing,737-83N(WL),Boeing 737-83N(WL),0,S7 Airlines,SBI,28245,2002
151EC4,RA-73412,B738,Boeing,737-8GJ,Boeing 737-8GJ,0,S7 Airlines,SBI,41401,2014
151EC8,RA-73416,A321,Airbus,A321-211,Airbus A321-211,0,S7 Airlines,SBI,06548,2015
151ED0,RA-73424,A320,Airbus,A320-214,Airbus A320-214,0,S7 Airlines,SBI,6171,2014
151ED2,RA-73426,A20N,Airbus,A320-271N,Airbus A320-271N,0,S7 Airlines,SBI,7671,2017
151ED8,RA-73432,A20N,Airbus,A320-271N,Airbus A320-271N,0,S7 Airlines,SBI,8451,2018
151EDD,RA-73437,A321,Airbus,A321-211,Airbus A321-211,0,S7 Airlines,SBI,2726,2006
151EDE,RA-73438,A321,Airbus,A321-211,Airbus A321-211,0,S7 Airlines,SBI,3070,2007
151EE0,RA-73440,A21N,Airbus,A321-271N,Airbus A321-271N,0,S7 Airlines,SBI,8103,2019
151EE5,RA-73445,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,S7 Airlines,SBI,10499,2021
151EE6,RA-73446,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,S7 Airlines,SBI,10540,2021
151EE8,RA-73448,A20N,Airbus,A320-271N,Airbus A320-271N,0,S7 Airlines,SBI,8852,2019
151EE9,RA-73449,A20N,Airbus,A320-271N,Airbus A320-271N,0,S7 Airlines,SBI,10139,2020
151FB3,RA-73651,B737,Boeing,737-752,Boeing 737-752,0,Nordavia,AUL,35785,2006
151FB5,RA-73653,B738,Boeing,737-86N,Boeing 737-86N,0,Nordavia,AUL,36818,2009
151FBA,RA-73658,B738,Boeing,737-8Q8,Boeing 737-8Q8,0,Nordavia,AUL,30665,2004
151FBC,RA-73660,B738,Boeing,737-86N,Boeing 737-86N,0,Nordavia,AUL,36819,2009
151FBD,RA-73661,B738,Boeing,737-8Q8,Boeing 737-8Q8,0,Nordavia,AUL,32797,2003
151FBF,RA-73663,A20N,Airbus,A320-251N,Airbus A320-251N,0,Nordavia,AUL,7523,2017
151FC1,RA-73665,B738,Boeing,737-8ZS,Boeing 737-8ZS,0,S7 Airlines,SBI,37084,2011
151FC5,RA-73669,B738,Boeing,737-8LP,Boeing 737-8LP,0,S7 Airlines,SBI,41836,2014
151FC9,RA-73673,A319,Airbus,A319-111,Airbus A319-111,0,Aurora,SHU,3838,2009
151FCB,RA-73675,A319,Airbus,A319-111,Airbus A319-111,0,Aurora,SHU,3336,2007
151FCD,RA-73677,A319,Airbus,A319-111,Airbus A319-111,0,Aurora,SHU,3281,2007
151FD0,RA-73680,A319,Airbus,A319-111,Airbus A319-111,0,Aurora,SHU,2069,2003
151FD5,RA-73685,A333,Airbus,A330-323,Airbus A330-323,0,I-Fly,RSY,1021,2009
151FD9,RA-73689,A321,Airbus,A321-231,Airbus A321-231,0,Yamal Airlines,LLM,1956,2003
151FDB,RA-73691,A320,Airbus,A320-232,Airbus A320-232,0,Yamal Airlines,LLM,1993,2003
151FDD,RA-73693,A321,Airbus,A321-211,Airbus A321-211,0,Yamal Airlines,LLM,2337,2004
151FE0,RA-73696,A320,Airbus,A320-232,Airbus A320-232,0,Yamal Airlines,LLM,1918,2002
151FE4,RA-73700,A333,Airbus,A330-343,Airbus A330-343,0,Aeroflot,AFL,1264,2011
151FE6,RA-73702,A333,Airbus,A330-343,Airbus A330-343,0,Aeroflot,AFL,1301,2012
151FE9,RA-73705,A21N,Airbus,A321-251NX,Airbus A321-251NX,0,Aeroflot,AFL,10595,2021
151FEB,RA-73707,A321,Airbus,A321-211,Airbus A321-211,0,Aeroflot,AFL,4074,2009
151FEC,RA-73708,A320,Airbus,A321-211,Airbus A321-211,0,Aeroflot,AFL,4116,2009
151FEF,RA-73711,A321,Airbus,A321-231,Airbus A321-231,0,Aeroflot,AFL,6756,2015
151FF0,RA-73712,A321,Airbus,A321-211,Airbus A321-211,0,Aeroflot,AFL,6817,2015
151FF8,RA-73720,A321,Airbus,A321-211,Airbus A321-211,0,Aeroflot,AFL,7255,2016
151FF9,RA-73721,A321,Airbus,A321-211(WL),Airbus A321-211(WL),0,Aeroflot,AFL,7300,2016
151FFB,RA-73723,A321,Airbus,A321-211,Airbus A321-211,0,Aeroflot,AFL,7667,2017
151FFC,RA-73724,A321,Airbus,A321-211,Airbus A321-211,0,Aeroflot,AFL,7678,2017
151FFD,RA-73725,A321,Airbus,A321-211(WL),Airbus A321-211(WL),0,Aeroflot,AFL,7749,2017
151FFF,RA-73727,A321,Airbus,A321-211,Airbus A321-211,0,Aeroflot,AFL,7801,2017
