ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
ACC1EB,N921AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,43337,2021
ACC33B,N921PW,PC12,Pilatus,PC-12,Pilatus PC-12,1,Private,,1550,2015
ACC5F0,N922DN,GA5C,Gulfstream,G500,Gulfstream G500,1,Private,,72079,2021
ACC616,N922FA,GLF5,Gulfstream Aerospace,5,Gulfstream 5,1,Private,,589,1999
ACC676,N922JX,E145,Embraer,ERJ-145LR,Embraer ERJ-145LR,0,JSX,JSX,145202,1999
ACC6E1,N922PD,B412,Bell,412EPX,Bell 412EPX,0,New York City Police Department,,39112,2022
ACC707,N922QS,C68A,Cessna,680A Citation Latitude,Cessna 680A Citation Latitude,0,NetJets,EJA,680A0331,2022
ACC9BE,N923EL,GLF5,Gulfstream,Aerospace GV-SP (G550),Gulfstream Aerospace GV-SP (G550),1,Private,,5401,
ACCA22,N923JL,CL35,Bombardier,Challenger 350,Bombardier Challenger 350,0,Jet Linx Aviation,JTL,20870,2021
ACCABE,N923QS,C68A,Cessna,680A Citation Latitude,Cessna 680A Citation Latitude,0,NetJets,EJA,680A0350,2023
ACCD10,N924AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,43333,2021
ACCD45,N924CN,CRJ2,Canadair,CRJ-200LR,Canadair CRJ-200LR,0,Contour Airlines,VTE,7494,2001
ACCFBB,N9242Y,B738,Boeing,737-8AS,Boeing 737-8AS,0,Garuda Indonesia,GIA,29931,
