ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
ACD47E,N926AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,43314,2021
ACDB12,N9274C,SR20,Cirrus,SR-20,Cirrus SR-20,1,Private,,9274,2023
ACDBEC,N928AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,44099,2022
ACDC7F,N928GG,GL7T,Bombardier,Global 7500,Bombardier Global 7500,1,Private,,70141,2023
ACDFA0,N929AG,BE40,Hawker Beechcraft,400XP,Hawker 400XP,0,Delta Private Jets,DPJ,RK-381,2004
