ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
A3C1D2,N341JE,CL60,Bombardier,Challenger 605,Bombardier Challenger 605,0,Jet Edge,EDG,5876,2011
A3C2BE,N341TR,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,American Airlines,AAL,44490,2023
A3C53F,N342FF,GLF5,Gulfstream,G550,Gulfstream G550,1,Private,,5342,2011
A3C54F,N342FX,E545,Embraer,Praetor 500,Embraer Praetor 500,0,Flexjet,LXJ,55010110,2023
A3C566,N342GV,E55P,Embraer,Phenom 300,Embraer Phenom 300,1,Private,,50500718,2022
A3C589,N342JE,CL60,Bombardier,Challenger 605,Bombardier Challenger 605,1,Private,,5956,2013
A3C662,N342SX,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,American Airlines,AAL,67991,2023
A3C705,N342ZK,GLF6,Gulfstream,G650,Gulfstream G650,1,Private,,6135,
A3C940,N343JE,CL35,Bombardier,Challenger 350,Bombardier Challenger 350,0,Jet Edge,EDG,20518,
A3C975,N343LH,PC12,Pilatus,PC-12 NGX,Pilatus PC-12 NGX,0,Labcorp,SKQ,2343,2024
A3CA1A,N343SY,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,American Airlines,AAL,67990,2023
