ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
0D0D09,XA-VBK,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,VivaAerobús,VIV,10210,2021
0D0D27,XA-VRU,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,10348,2021
0D0D2B,XA-VBI,A321,Airbus,A321-231,Airbus A321-231,0,VivaAerobús,VIV,6059,2014
0D0D36,XA-VRY,A20N,Airbus,A320-272N,Airbus A320-272N,0,Volaris,VOI,10574,2021
0D0D38,XA-VBM,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,VivaAerobús,VIV,10343,2021
0D0D40,XA-VRV,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,10454,2021
0D0D41,XA-VRW,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,10601,2021
0D0D50,XA-VRZ,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,10469,2021
0D0D61,XA-FTY,FA7X,Dassault,Falcon 7X,Dassault Falcon 7X,1,Private,,266,
0D0D66,XA-VBQ,A321,Airbus,A321-231,Airbus A321-231,0,VivaAerobús,VIV,6201,2014
0D0D75,XA-VBN,A321,Airbus,A321-231,Airbus A321-231,0,VivaAerobús,VIV,5582,2013
0D0D86,XA-VBP,A321,Airbus,A321-231,Airbus A321-231,0,VivaAerobús,VIV,5606,2013
0D0D8D,XA-VSH,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,10425,2021
0D0D90,XA-VSE,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,9558,2021
0D0D92,XA-VSD,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,9563,2021
0D0DA0,XA-VBR,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,VivaAerobús,VIV,10484,2021
0D0DA4,XA-VSG,A20N,Airbus,A320-272N,Airbus A320-272N,0,Volaris,VOI,10200,2020
0D0DA6,XA-RIN,GLF5,Gulfstream Aerospace,G550,Gulfstream Aerospace G550,1,Private,,5042,
0D0DA8,XA-VSF,A20N,Airbus,A320-272N,Airbus A320-272N,0,Volaris,VOI,10098,2020
0D0DE3,XA-VAM,A320,Airbus,A320-232,Airbus A320-232,0,VivaAerobús,VIV,4535,2010
0D0DE6,XA-VSJ,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,10069,2020
0D0DED,XA-VBW,A321,Airbus,A321-231,Airbus A321-231,0,VivaAerobús,VIV,6861,2015
0D0DF1,XA-VBV,A321,Airbus,A321-231,Airbus A321-231,0,VivaAerobús,VIV,6219,2014
0D0E01,XA-VSM,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Volaris,VOI,10762,2022
0D0E03,XA-VSL,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Volaris,VOI,10447,2022
0D0E11,XA-VSN,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,10775,2022
0D0E12,XA-VSO,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,10827,2022
0D0E16,XA-VSI,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,9410,2019
0D0E2B,XA-VXA,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,VivaAerobús,VIV,10742,2022
0D0E38,XA-VBZ,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,VivaAerobús,VIV,10675,2021
0D0E3B,XA-VSP,A20N,Airbus,A320-271N,Airbus A320-271N,0,Volaris,VOI,10824,2022
