ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
A7E1CD,N607FR,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Frontier Airlines,FFT,11195,2022
A7E233,N607KT,CL60,Bombardier,Challenger 650,Bombardier Challenger 650,0,Solairus Aviation,TWY,6071,2016
A7EDAF,N61PE,BE20,Beech,B200 Super King Air,Beech B200 Super King Air,1,Private,,BB-1132,
A7EF4B,N610FR,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Frontier Airlines,FFT,11180,2023
A7EF69,N610GW,GLF4,Gulfstream,IV,Gulfstream IV,1,Private,,1289,1996
