ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
A7D284,N603BG,GLF5,Gulfstream,G500,Gulfstream G500,1,Private,,5249,2009
A7D2A6,N603CR,SF50,Cirrus,G2+ Vision Jet,Cirrus G2+ Vision Jet,1,Private,,0438,2023
A7D2F1,N603FR,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Frontier Airlines,FFT,11032,2022
A7D2F7,N603FX,E550,Embraer,Praetor 600,Embraer Praetor 600,0,Flexjet,LXJ,55020185,2023
A7D30B,N603GS,GLF6,Gulfstream,G650ER,Gulfstream G650ER,1,Private,,6503,2022
A7D571,N6035F,P28A,Piper,Pilot 100i,Piper Pilot 100i,0,American Flyers,,28020095,2022
A7D624,N604AJ,M600,Piper,PA-46-M600,Piper PA-46-M600,1,Private,,4698176,2021
A7D6A8,N604FR,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Frontier Airlines,FFT,11086,2022
A7D6AE,N604FX,E550,Embraer,Praetor 600,Embraer Praetor 600,0,Flexjet,LXJ,55020186,2023
A7D6B3,N604GB,GA6C,Gulfstream Aerospace,G600,Gulfstream G600,1,Private,,73082,2022
A7D6B6,N604GE,CL60,Bombardier,Challenger 604,Bombardier Challenger 604,1,Private,,5393,1998
A7D6EF,N604JM,GLF4,Gulfstream,IV,Gulfstream IV,1,Private,,1301,1996
A7DA5F,N605FR,A21N,Airbus,A321neo,Airbus A321neo,0,Frontier Airlines,FFT,11161,2022
A7DB51,N605RH,GA6C,Gulfstream Aerospace,G600,Gulfstream Aerospace G600,1,Private,,73140,2024
A7DC99,N6053F,P28A,Piper,Pilot 100i,Piper Pilot 100i,0,American Flyers,FYS,28020149,2023
A7DD48,N6058F,P28A,Piper,Pilot 100i,Piper Pilot 100i,0,American Flyers,FYS,28020150,2023
A7DE16,N606FR,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Frontier Airlines,FFT,11203,2023
A7DE1C,N606FX,E550,Embraer,Praetor 600,Embraer Praetor 600,0,Flexjet,LXJ,55020205,2024
A7DF86,N606WJ,H25B,Hawker Beechcraft,800XP,Hawker Beechcraft 800XP,0,Worldwide Jet Charter,WWI,258606,2002
