ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
4AB2AE,SE-LUN,BE9L,Beech,C90 GT King Air,Beech C90 GT King Air,0,Lund University School of Aviation,UNY,LJ-1782,2006
4AB34F,SE-LZO,C172,Cessna,172 Skyhawk,Cessna 172 Skyhawk,0,OSM Aviation Academy,SCQ,172S12084,2017
4AB465,SE-MCE,BW6T,Blackwing,BW-635,Blackwing BW-635,1,Private,,019,2022
4AB4CF,SE-MFO,F50,Fokker,50,Fokker 50,0,populAir,APF,20251,1992
4AB4D9,SE-MFY,F50,Fokker,50,Fokker 50,0,populAir,APF,20109,1989
4AB4EB,SE-MGK,BE20,Beechcraft Corp,King Air 200GT,Beechcraft Corp King Air 200GT,1,Private,,BY-216,2014
4AB510,SE-MHP,AT8T,Air Tractor,AT-802 Fire Boss,Air Tractor AT-802 Fire Boss,0,SAAB Aircraft,SCT,802-0849,2020
4AB518,SE-MHX,M20T,Mooney,M20M TLS Bravo,Mooney M20M TLS Bravo,1,Private,,27-0328,2004
4AB530,SE-MIP,C185,Cessna,A185E Skywagon 185,Cessna A185E Skywagon 185,1,Private,,185-02010,
4AB547,SE-MJG,C414,Cessna,414A Chancellor,Cessna 414A Chancellor,0,Hummingbird Aviation Services,ETI,414A0646,1981
4AB554,SE-MJT,PC12,Pilatus,PC-12 NGX,Pilatus PC-12 NGX,1,Private,,2162,2022
4AB56D,SE-MKM,AT76,ATR,72 600,ATR 72 600,0,Braathens Regional Airways,BRX,1626,2019
4AB56F,SE-MKO,AT76,ATR,72-600,ATR 72-600,0,Braathens Regional Airways,BRX,1528,2018
4AB5A4,SE-MMD,BW6T,Blackwing,BW-635RG,Blackwing BW-635RG,1,Private,,007,
4AB5B0,SE-MMP,P28A,Piper,Archer III,Piper Archer III,1,Private,,2843109,1997
4AB5C1,SE-MNA,P28A,Piper,Archer DX,Piper Archer DX,0,Green Flight Academy,,2881189,2019
4AB5CE,SE-MNN,PA31,Piper,PA-31 Navajo,Piper PA-31 Navajo,0,Prokitor Airborne Surveying,,31-632,
4AB5D0,SE-MNP,AT76,ATR,72-600,ATR 72-600,0,Braathens Regional Airways,BRX,1254,2015
4AB5E6,SE-MOF,B350,Beech,King Air 350i,Beech King Air 350i,0,Svenskt Industriflyg AB,JET,FL-836,2013
4AB821,SE-NAA,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Norwegian Air Shuttle,NOZ,44878,2025
4AB823,SE-NAC,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Norwegian Air Sweden,NSZ,66303,2025
