ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
3E017B,D-HRTJ,EC35,Airbus Helicopters,EC-135 T3H,Airbus Helicopters EC-135 T3H,0,DRF Luftrettung,CHX,2205,2022
3E02E8,D-HSHK,EC20,Eurocopter,EC120B Colibri,Eurocopter EC120B Colibri,0,Bundespolizei,BPO,1653,2011
3E03C0,D-HSPS,H269,Hughes,269HKP-5B,Hughes 269HKP-5B,1,Private,,71-1069,
3E0501,D-HTCB,R44,Robinson,R44,Robinson R44,1,Private,,2640,
3E059E,D-HTIC,R44,Robinson,R-44 Raven,Robinson R-44 Raven,1,Private,,,
3E0687,D-HTRB,R44,Robinson,R-44 Raven,Robinson R-44 Raven,1,Private,,14576,
3E0FDF,D-HXFB,EC45,Airbus Helicopters,EC-145,Airbus Helicopters EC-145,0,Deutsche Rettungsflugwacht,AMB,21030,
3E0FE0,D-HXFC,EC45,Airbus Helicopters,H-145,Airbus Helicopters H-145,0,Deutsche Rettungsflugwacht,AMB,21046,
3E0FE1,D-HXFD,EC45,Eurocopter,EC145 T3,Eurocopter EC145 T3,0,Deutsche Rettungsflugwacht,AMB,21066,2021
3E0FE2,D-HXFE,EC45,Eurocopter,UH-145,Eurocopter UH-145,0,DRF Luftrettung,AMB,21073,2021
3E0FE4,D-HXFG,EC45,Airbus Helicopters-Kawasaki,H-145,Airbus Helicopters-Kawasaki H-145,0,Deutsche Rettungsflugwacht,AMB,21130,2022
3E0FE9,D-HXFL,EC45,Airbus Helicopters,H145,Airbus Helicopters H145,0,DRF Luftrettung,CHX,21250,
3E0FED,D-HXFP,EC45,Airbus Helicopters,H145,Airbus Helicopters H145,0,DRF Luftrettung,CHX,21349,2024
