ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
AAF0C3,N804AK,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Alaska Airlines,ASA,67804,2024
AAF0F7,N804CM,A333,Airbus,A330-343,Airbus A330-343,0,Cargo Aircraft Management,,0356,2000
AAF29F,N804VL,B738,Boeing,737-86N,Boeing 737-86N,0,Avelo Airlines,VXP,38030,2012
AAF475,N805AE,E135,Embraer,ERJ-140LR,Embraer ERJ-140LR,0,Contour Airlines,VTE,145489,
AAF477,N805AG,GA5C,Gulfstream,G500,Gulfstream G500,0,Altria Client Services LLC,,72081,2021
AAF47A,N805AK,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Alaska Airlines,ASA,67805,2024
AAF47B,N805AL,F900,Dassault,Falcon 900,Dassault Falcon 900,1,Private,,35,1988
AAF4A5,N805CC,FA7X,Dassault,Falcon 7X,Dassault Falcon 7X,1,Private,,297,2021
AAF58D,N805MK,TBM9,Daher,TBM-960,Daher TBM-960,1,Private,,1534,
AAF58E,N805ML,MD87,McDonnell Douglas,MD-87,McDonnell Douglas MD-87,1,Private,,49777,1989
AAF5BD,N805PH,FA7X,Dassault,Falcon 7X,Dassault Falcon 7X,0,Post Foods,,129,2010
AAF5F2,N805RL,C25C,Cessna,525C Citation CJ4,Cessna 525C Citation CJ4,1,Private,,525C0094,
AAF619,N805T,GA6C,Gulfstream,GVII-G600,Gulfstream GVII-G600,1,Private,,73071,2022
AAF624,N805TL,GLF6,Gulfstream,G650ER,Gulfstream G650ER,1,Private,,6434,2020
AAF656,N805VL,B738,Boeing,737-800,Boeing 737-800,0,Avelo Airlines,VXP,39401,2012
AAF82E,N806AG,GA6C,Gulfstream,Aerospace GVII-G600,Gulfstream Aerospace GVII-G600,0,Altria Client Services,,73086,2022
AAF87D,N806DL,GLF5,Gulfstream,G550,Gulfstream G550,1,Private,,5244,2009
AAFA0D,N806VL,B738,Boeing,737-8EH,Boeing 737-8EH,0,Avelo Airlines,VXP,34656,2006
AAFCD9,N807LA,GL7T,Bombardier,Global 7500,Bombardier Global 7500,0,XO,XOJ,70065,2020
AAFDC4,N807VL,B738,Boeing,737-8EH,Boeing 737-8EH,0,Avelo Airlines,VXP,35830,2009
AAFDEC,N807XA,B738,Boeing,737-8KV,Boeing 737-8KV,0,Saudi Aramco,,63406,2018
AAFFCD,N808CF,GLF4,Gulfstream Aerospace,IV,Gulfstream Aerospace IV,0,Hera Flight,HER,1176,1991
AAFFE1,N808DA,SR22,Cirrus,SR22,Cirrus SR22,1,Private,,10808,2025
