ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
AAD301,N797LA,GLEX,Bombardier,Global Express XRS,Bombardier Global Express XRS,1,Private,,9369,2009
AAD5D7,N798BA,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,AIP Capital,,44308,2019
AAD5DA,N798BD,GLEX,Bombardier,Global 6000,Bombardier Global 6000,1,Private,,9798,2017
AAD97F,N799AL,BE20,Beech,200GT Super King Air,Beech 200GT Super King Air,1,Private,,BY-102,
AAD988,N799AV,B788,Boeing,787-8 Dreamliner,Boeing 787-8 Dreamliner,0,Avianca,AVA,34796,2014
AADA1B,N799GS,GL5T,Bombardier,Global 5000,Bombardier Global 5000,1,Private,,9192,2006
AADD29,N79999,GLF6,Gulfstream Aerospace,G650ER,Gulfstream Aerospace G650ER,0,SH Bellawings Airlines,CBW,6256,2017
AADEAE,N8RM,GLF5,Gulfstream Aerospace,G550,Gulfstream Aerospace G550,1,Private,,5285,2010
AADECD,N8ST,GA6C,Gulfstream,G600,Gulfstream G600,0,Southern Tire Aviation,,73050,
AADED0,N8SW,GLF5,Gulfstream,G550,Gulfstream G550,0,Solairus Aviation,TWY,5206,2008
AADF09,N8VC,GLF4,Gulfstream,G450,Gulfstream G450,0,Jet Edge,EDG,4161,2009
AADF38,N8X,FA8X,Dassault,Falcon 8X,Dassault Falcon 8X,0,Dassault Aviation,DAB,444,2018
