ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
E4A018,PS-MBN,GLF6,Gulfstream,G650ER,Gulfstream G650ER,1,Private,,6576,2024
E4A075,PS-VAS,E550,Embraer,Legacy 500,Embraer Legacy 500,1,Private,,55000007,2014
E4A081,PS-FUN,C208,Cessna,208 Grand Caravan,Cessna 208 Grand Caravan,0,Skydive4Fun,,20800036,1985
E4A0BF,PP-APM,GALX,Gulfstream,G200 Galaxy,Gulfstream G200 Galaxy,1,Private,,192,2008
E4A0C2,PS-JNB,BE20,Beech,200 Super King Air,Beech 200 Super King Air,1,Private,,BB-685,1980
E4A0C5,PS-SRN,GLF5,Gulfstream,G550,Gulfstream G550,1,Private,,5233,2009
E4A0D5,PS-VLP,E35L,Embraer,Legacy 600,Embraer Legacy 600,1,Private,,14500884,2005
E4A130,PR-XBW,A20N,Airbus,A320-271N,Airbus A320-271N,0,TAM Brazilian Airlines,TAM,12497,2025
E4A13C,PS-AJB,A321,Airbus,A321-231(P2F),Airbus A321-231(P2F),0,TAM Brazilian Airlines,TAM,2759,2006
E4A1A8,PS-LVE,C510,Cessna,510 Citation Mustang,Cessna 510 Citation Mustang,1,Private,,510-0091,2008
E4A1FD,PR-OGC,C56X,Cessna,Citation XLS,Cessna Citation XLS,1,Private,,560-6342,2023
E4A227,PR-SJA,B737,Boeing,737-79P,Boeing 737-79P,0,Sideral Linhas Aéreas,SID,30651,2002
E4A22A,PS-RIO,GA6C,Gulfstream,G600,Gulfstream G600,1,Private,,73168,2024
E4A266,PT-CTA,GL5T,Bombardier,Global 5000,Bombardier Global 5000,1,Private,,9305,2008
E4A2AF,PP-KMC,F2TH,Dassault,Falcon 2000EX,Dassault Falcon 2000EX,1,Private,,074,2006
E4A32C,PR-DSM,C56X,Cessna,560XL Citation Excel,Cessna 560XL Citation Excel,1,Private,,560-5329,2003
E4A345,PS-MEV,E550,Embraer,Praetor 600,Embraer Praetor 600,1,Private,,55020231,2025
E4A356,PS-GCE,GLF5,Gulfstream,G550,Gulfstream G550,1,Private,,5089,2005
E4A370,PP-FRR,E50P,Embraer,Phenom 100EV,Embraer Phenom 100EV,1,Private,,50000447,2024
E4A418,PS-MGG,GA7C,Gulfstream,G700,Gulfstream G700,1,Private,,87039,2024
E4A586,PS-VAA,M600,Piper,M600,Piper M600,1,Private,,4698033,2017
