ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
A58103,N454AL,A21N,Airbus,A321-253NX,Airbus A321-253NX,0,American Airlines,AAL,10785,2022
A584BC,N455AN,A21N,Airbus,A321-253NX,Airbus A321-253NX,0,American Airlines,AAL,10840,2022
A58873,N456AN,A21N,Airbus,A321-253NX,Airbus A321-253NX,0,American Airlines,AAL,10858,2022
A589D5,N456QS,E55P,Embraer,Phenom 300,Embraer Phenom 300,0,NetJets,EJA,50500698,2022
A589DE,N456RA,GLF6,Gulfstream,G650ER,Gulfstream G650ER,1,Private,,6491,2022
A58D8C,N457QS,E55P,Embraer,Phenom 300,Embraer Phenom 300,0,NetJets,EJA,50500704,2022
A58FDF,N458AL,A21N,Airbus,A321-253NX,Airbus A321-253NX,0,American Airlines,AAL,10819,2022
