Code,Name,ICAO,IATA,PositioningFlightPattern,CharterFlightPattern
AFN,Air Freight NZ,AFN,OG,,
AFO,Aero Empresa Mexicana,AFO,,,
AFP,Portuguese Air Force,AFP,,,
AFQ,Alba Servizi Aerotrasporti,AFQ,,,
AFR,Air France,AFR,AF,,
AFS,Air Data,AFS,,,
AFU,Afrinat International Airlines,AFU,Q9,,
AFV,Air Afrique Vacancies,AFV,,,
AFW,Africa World Airlines,AFW,AW,,
AFY,Africa Chartered Services,AFY,,,
AFZ,Africa Freight Services,AFZ,,,
AGA,AG Air,AGA,,,
AGB,Air Service Gabon,AGB,G8,,
AGC,Arab Agricultural Aviation Company,AGC,,,
AGE,Servicios Aéreos de Los Ángeles,AGE,,,
AGF,Atlantic Gulf Airlines,AGF,,,
AGG,Algoma Airways,AGG,,,
AGH,Altagna,AGH,,,
AGI,Aereo Transportes Los Angeles de America,AGI,,,
AGM,Air Guam,AGM,,,
AGO,Angola Air Charter,AGO,,,
AGP,AERFI Group,AGP,,,
AGR,Air Charters Europe,AGR,,,.*
AGT,Amadeus Global Travel Distribution,AGT,1A,,
AGU,Angara Airlines,AGU,2G,,
AGV,Air Glaciers,AGV,7T,,
AGX,Aviogenex,AGX,JJ,,
AGY,Air Go Egypt,AGY,EO,,
AGZ,Agrolet-Mci,AGZ,,,
AHA,Air Alpha Greenland,AHA,GD,,
AHC,Azal Avia Cargo,AHC,,,
AHD,Czech Air Handling,AHD,,,
AHE,"Airport Helicopter Basel, Muller &amp; Co.",AHE,,,
AHF,Aspen Helicopters,AHF,,,
AHH,Airplanes Holdings,AHH,,,
AHI,Servicios Aéreos de Chihuahua Aerochisa,AHI,,,
AHK,Air Hong Kong,AHK,LD,,
AHL,Aerolíneas Hidalgo,AHL,,,
AHM,Garrison Aviation,AHM,,,
AHN,Air Hungaria,AHN,,,
AHO,Air Hamburg,AHO,HH,,.*
AHP,Aerochiapas,AHP,,,
AHR,Air Adriatic,AHR,,,
AHS,AHS Air International,AHS,,,
AHT,HTA Helicopteros,AHT,,,
AHU,ABC Air Hungary,AHU,,,
