ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
3DD2CD,D-HABT,EC35,Airbus Helicopters,EC135 T3,Airbus Helicopters EC135 T3,0,German Army,GAM,1270,2017
3DD2D0,D-HABW,EC35,Airbus Helicopters,EC135 T3,Airbus Helicopters EC135 T3,0,German Army,GAM,1266,2018
3DD2D5,D-HACB,R44,Robinson,R-44 Raven,Robinson R-44 Raven,1,Private,,14292,
3DD383,D-HAIT,R44,Robinson,R-44 Raven,Robinson R-44 Raven,0,Aeroheli International,,112,
3DD386,D-HAIW,R44,Robinson,R-44 Raven I,Robinson R-44 Raven I,1,Private,,2696,
3DD462,D-HARI,A109,Agusta,A-109E LUH,Agusta A-109E LUH,0,Haribo,,11708,2007
3DD55F,D-HBBB,R44,Robinson,R44 Raven II,Robinson R44 Raven II,1,Private,,10266,2006
3DD735,D-HJLA,EC45,Airbus Helicopters,H145,Airbus Helicopters H145,0,Deutsche Rettungsflugwacht,AMB,21021,
3DDA03,D-HCUT,R44,Robinson,R44 Cadet,Robinson R44 Cadet,1,Private,,30083,
3DDAE5,D-HDDL,EC35,Airbus Helicopters,EC135 P2+,Airbus Helicopters EC135 P2+,0,DL Helicopter GmbH,,1200,2015
3DDD89,D-HEDL,EC35,Airbus Helicopters,EC-135,Airbus Helicopters EC-135,0,German Air Force,GAF,265,
3DDD9C,D-HEEE,AS50,Eurocopter,Squirrel AS.350 B3,Eurocopter Squirrel AS.350 B3,0,Helijet Flightservice,,3362,2000
3DDE80,D-HEMY,EC20,Airbus Helicopters,EC-120B Colibri,Airbus Helicopters EC-120B Colibri,1,Private,,1274,
