Start,Finish,Count,Bitmask,SignificantBitmask,IsMilitary,CountryISO2
684000,6843FF,1024,684000,FFFC00,0,PW
700000,700FFF,4096,700000,FFF000,0,AF
702000,702FFF,4096,702000,FFF000,0,BD
702C02,702C02,1,702C02,FFFFFF,1,BD
702C03,702C03,1,702C03,FFFFFF,1,BD
702C04,702C04,1,702C04,FFFFFF,1,BD
704000,704FFF,4096,704000,FFF000,0,MM
706000,706FFF,4096,706000,FFF000,0,KW
706217,706217,1,706217,FFFFFF,1,KW
708000,708FFF,4096,708000,FFF000,0,LA
70A000,70AFFF,4096,70A000,FFF000,0,NP
70C000,70C3FF,1024,70C000,FFFC00,0,OM
70C070,70C07F,16,70C070,FFFFF0,1,OM
70C08B,70C08B,1,70C08B,FFFFFF,1,OM
70C08C,70C08C,1,70C08C,FFFFFF,1,OM
70E000,70EFFF,4096,70E000,FFF000,0,KH
710000,717FFF,32768,710000,FF8000,0,SA
71010A,71010A,1,71010A,FFFFFF,1,SA
71010B,71010B,1,71010B,FFFFFF,1,SA
7101E0,7101E0,1,7101E0,FFFFFF,1,SA
710258,71025F,8,710258,FFFFF8,1,SA
710260,71027F,32,710260,FFFFE0,1,SA
710280,71029F,32,710280,FFFFE0,1,SA
7102D5,7102D5,1,7102D5,FFFFFF,1,SA
7102E1,7102E1,1,7102E1,FFFFFF,1,SA
7102E2,7102E2,1,7102E2,FFFFFF,1,SA
7102E3,7102E3,1,7102E3,FFFFFF,1,SA
7102E4,7102E4,1,7102E4,FFFFFF,1,SA
7102F9,7102F9,1,7102F9,FFFFFF,1,SA
710380,71039F,32,710380,FFFFE0,1,SA
7103AB,7103AB,1,7103AB,FFFFFF,1,SA
718000,71FFFF,32768,718000,FF8000,0,KR
71F906,71F906,1,71F906,FFFFFF,1,KR
71F90A,71F90A,1,71F90A,FFFFFF,1,KR
71FB01,71FB01,1,71FB01,FFFFFF,1,KR
71FB02,71FB02,1,71FB02,FFFFFF,1,KR
720000,727FFF,32768,720000,FF8000,0,KP
728000,72FFFF,32768,728000,FF8000,0,IQ
7281F5,7281F5,1,7281F5,FFFFFF,1,IQ
7281F6,7281F7,2,7281F6,FFFFFE,1,IQ
7281F8,7281FF,8,7281F8,FFFFF8,1,IQ
728200,728203,4,728200,FFFFFC,1,IQ
730000,737FFF,32768,730000,FF8000,0,IR
734D1E,734D1E,1,734D1E,FFFFFF,1,IR
738000,73FFFF,32768,738000,FF8000,0,IL
738A00,738BFF,512,738A00,FFFE00,1,IL
740000,747FFF,32768,740000,FF8000,0,JO
748000,74FFFF,32768,748000,FF8000,0,LB
750000,757FFF,32768,750000,FF8000,0,MY
75000C,75000C,1,75000C,FFFFFF,1,MY
75000F,75000F,1,75000F,FFFFFF,1,MY
750024,750024,1,750024,FFFFFF,1,MY
750025,750025,1,750025,FFFFFF,1,MY
750026,750026,1,750026,FFFFFF,1,MY
750027,750027,1,750027,FFFFFF,1,MY
7500BD,7500BD,1,7500BD,FFFFFF,1,MY
7500C5,7500C5,1,7500C5,FFFFFF,1,MY
7500D4,7500D4,1,7500D4,FFFFFF,1,MY
7500D7,7500D7,1,7500D7,FFFFFF,1,MY
750156,750156,1,750156,FFFFFF,1,MY
758000,75FFFF,32768,758000,FF8000,0,PH
760000,767FFF,32768,760000,FF8000,0,PK
760019,760019,1,760019,FFFFFF,1,PK
7600E9,7600E9,1,7600E9,FFFFFF,1,PK
7602F5,7602F5,1,7602F5,FFFFFF,1,PK
761030,761030,1,761030,FFFFFF,1,PK
76103F,76103F,1,76103F,FFFFFF,1,PK
76104B,76104B,1,76104B,FFFFFF,1,PK
761051,761051,1,761051,FFFFFF,1,PK
761052,761052,1,761052,FFFFFF,1,PK
761054,761054,1,761054,FFFFFF,1,PK
76105D,76105D,1,76105D,FFFFFF,1,PK
7610D6,7610D6,1,7610D6,FFFFFF,1,PK
7610D8,7610D8,1,7610D8,FFFFFF,1,PK
76209A,76209A,1,76209A,FFFFFF,1,PK
762AF3,762AF3,1,762AF3,FFFFFF,1,PK
762BF4,762BF4,1,762BF4,FFFFFF,1,PK
763987,763987,1,763987,FFFFFF,1,PK
768000,76FFFF,32768,768000,FF8000,0,SG
7684C3,7684C3,1,7684C3,FFFFFF,1,SG
76E301,76E301,1,76E301,FFFFFF,1,SG
76E302,76E302,1,76E302,FFFFFF,1,SG
76E303,76E303,1,76E303,FFFFFF,1,SG
76E304,76E304,1,76E304,FFFFFF,1,SG
770000,777FFF,32768,770000,FF8000,0,LK
778000,77FFFF,32768,778000,FF8000,0,SY
780000,7BFFFF,262144,780000,FC0000,0,CN
7800CB,7800CB,1,7800CB,FFFFFF,0,MO
780100,7801FF,256,780100,FFFF00,0,HK
780100,78011F,32,780100,FFFFE0,0,CN
780108,780108,1,780108,FFFFFF,0,MO
780200,78023F,64,780200,FFFFC0,0,HK
780240,780240,1,780240,FFFFFF,0,HK
780241,780241,1,780241,FFFFFF,0,HK
780242,780242,1,780242,FFFFFF,0,HK
780243,780243,1,780243,FFFFFF,0,HK
7802BA,7802BA,1,7802BA,FFFFFF,0,MO
7802BC,7802BC,1,7802BC,FFFFFF,0,MO
7802C4,7802C4,1,7802C4,FFFFFF,0,MO
780336,780336,1,780336,FFFFFF,0,MO
780337,780337,1,780337,FFFFFF,0,MO
780338,78033F,8,780338,FFFFF8,0,MO
780340,780347,8,780340,FFFFF8,0,MO
780418,780418,1,780418,FFFFFF,0,MO
780419,780419,1,780419,FFFFFF,0,MO
78041A,78041A,1,78041A,FFFFFF,0,MO
78041B,78041B,1,78041B,FFFFFF,0,MO
78041C,78041C,1,78041C,FFFFFF,0,MO
780423,780423,1,780423,FFFFFF,0,MO
780424,780424,1,780424,FFFFFF,0,MO
780425,780425,1,780425,FFFFFF,0,MO
780426,780426,1,780426,FFFFFF,0,MO
780427,780427,1,780427,FFFFFF,0,MO
780430,780430,1,780430,FFFFFF,0,MO
780494,780494,1,780494,FFFFFF,0,MO
780A00,780A3F,64,780A00,FFFFC0,0,HK
780A00,780A01,2,780A00,FFFFFE,0,CN
780A40,780A7F,64,780A40,FFFFC0,0,HK
7C0000,7FFFFF,262144,7C0000,FC0000,0,AU
7C822E,7C822F,2,7C822E,FFFFFE,1,AU
7C8230,7C823F,16,7C8230,FFFFF0,1,AU
7C8240,7C827F,64,7C8240,FFFFC0,1,AU
7C8280,7C82FF,128,7C8280,FFFF80,1,AU
7C8300,7C83FF,256,7C8300,FFFF00,1,AU
7C8400,7C87FF,1024,7C8400,FFFC00,1,AU
7C8800,7C8FFF,2048,7C8800,FFF800,1,AU
7C9000,7C9FFF,4096,7C9000,FFF000,1,AU
7CA000,7CBFFF,8192,7CA000,FFE000,1,AU
7CC000,7CFFFF,16384,7CC000,FFC000,1,AU
7D0000,7DFFFF,65536,7D0000,FF0000,1,AU
7E0000,7FFFFF,131072,7E0000,FE0000,1,AU
800000,FFFFFF,8388608,800000,800000,0,ZZ
800000,83FFFF,262144,800000,FC0000,0,IN
800078,800078,1,800078,FFFFFF,1,IN
800079,800079,1,800079,FFFFFF,1,IN
8000D6,8000D6,1,8000D6,FFFFFF,1,IN
800200,8002FF,256,800200,FFFF00,1,IN
8002F0,8002F0,1,8002F0,FFFFFF,0,IN
80030D,80030D,1,80030D,FFFFFF,1,IN
800792,800792,1,800792,FFFFFF,1,IN
800797,800797,1,800797,FFFFFF,1,IN
81E0E3,81E0E3,1,81E0E3,FFFFFF,1,IN
840000,87FFFF,262144,840000,FC0000,0,JP
87C000,87C000,1,87C000,FFFFFF,1,JP
87C001,87C001,1,87C001,FFFFFF,1,JP
87CC01,87CC01,1,87CC01,FFFFFF,1,JP
87CC08,87CC08,1,87CC08,FFFFFF,1,JP
87CC09,87CC09,1,87CC09,FFFFFF,1,JP
87CC0A,87CC0A,1,87CC0A,FFFFFF,1,JP
87CC0B,87CC0B,1,87CC0B,FFFFFF,1,JP
880000,887FFF,32768,880000,FF8000,0,TH
880027,880027,1,880027,FFFFFF,1,TH
88002C,88002C,1,88002C,FFFFFF,1,TH
880049,880049,1,880049,FFFFFF,1,TH
880401,880401,1,880401,FFFFFF,1,TH
8805A3,8805A3,1,8805A3,FFFFFF,1,TH
8805A7,8805A7,1,8805A7,FFFFFF,1,TH
8805A8,8805A8,1,8805A8,FFFFFF,1,TH
8805A9,8805A9,1,8805A9,FFFFFF,1,TH
8805AA,8805AA,1,8805AA,FFFFFF,1,TH
8805AB,8805AB,1,8805AB,FFFFFF,1,TH
8805AC,8805AC,1,8805AC,FFFFFF,1,TH
8805AD,8805AD,1,8805AD,FFFFFF,1,TH
8805AE,8805AE,1,8805AE,FFFFFF,1,TH
8805AF,8805AF,1,8805AF,FFFFFF,1,TH
8805B0,8805B0,1,8805B0,FFFFFF,1,TH
880DB6,880DB6,1,880DB6,FFFFFF,1,TH
881C61,881C61,1,881C61,FFFFFF,1,TH
881C62,881C62,1,881C62,FFFFFF,1,TH
881C63,881C63,1,881C63,FFFFFF,1,TH
881C64,881C64,1,881C64,FFFFFF,1,TH
882248,882248,1,882248,FFFFFF,1,TH
883AC1,883AC1,1,883AC1,FFFFFF,1,TH
885332,885332,1,885332,FFFFFF,1,TH
885333,885333,1,885333,FFFFFF,1,TH
888000,88FFFF,32768,888000,FF8000,0,VN
890000,890FFF,4096,890000,FFF000,0,YE
894000,894FFF,4096,894000,FFF000,0,BH
894011,894011,1,894011,FFFFFF,1,BH
894016,894016,1,894016,FFFFFF,1,BH
895000,8953FF,1024,895000,FFFC00,0,BN
896000,896FFF,4096,896000,FFF000,0,AE
896029,896029,1,896029,FFFFFF,1,AE
89602A,89602A,1,89602A,FFFFFF,1,AE
89602B,89602B,1,89602B,FFFFFF,1,AE
89602C,89602C,1,89602C,FFFFFF,1,AE
896C00,896C3F,64,896C00,FFFFC0,1,AE
897000,8973FF,1024,897000,FFFC00,0,SB
898000,898FFF,4096,898000,FFF000,0,PG
899000,8993FF,1024,899000,FFFC00,0,TW
899160,899160,1,899160,FFFFFF,1,TW
8A0000,8A7FFF,32768,8A0000,FF8000,0,ID
8A0024,8A0024,1,8A0024,FFFFFF,1,ID
8A0029,8A0029,1,8A0029,FFFFFF,1,ID
8A2901,8A2901,1,8A2901,FFFFFF,1,ID
8A2902,8A2902,1,8A2902,FFFFFF,1,ID
900000,9003FF,1024,900000,FFFC00,0,MH
901000,9013FF,1024,901000,FFFC00,0,CK
902000,9023FF,1024,902000,FFFC00,0,WS
A00000,AFFFFF,1048576,A00000,F00000,0,US
A31E09,A31E09,1,A31E09,FFFFFF,1,US
A74ED3,A74ED3,1,A74ED3,FFFFFF,1,US
AC8997,AC8997,1,AC8997,FFFFFF,1,US
AD5AF4,AD5AF4,1,AD5AF4,FFFFFF,1,US
ADF7C8,ADF7CF,8,ADF7C8,FFFFF8,1,US
ADF7D0,ADF7DF,16,ADF7D0,FFFFF0,1,US
ADF7E0,ADF7FF,32,ADF7E0,FFFFE0,1,US
ADF800,ADFFFF,2048,ADF800,FFF800,1,US
AE0000,AFFFFF,131072,AE0000,FE0000,1,US
C00000,C3FFFF,262144,C00000,FC0000,0,CA
C20000,C3FFFF,131072,C20000,FE0000,1,CA
C80000,C87FFF,32768,C80000,FF8000,0,NZ
C87F00,C87FFF,256,C87F00,FFFF00,1,NZ
C88000,C88FFF,4096,C88000,FFF000,0,FJ
C8A000,C8A3FF,1024,C8A000,FFFC00,0,NR
C8C000,C8C3FF,1024,C8C000,FFFC00,0,LC
C8D000,C8D3FF,1024,C8D000,FFFC00,0,TO
C8E000,C8E3FF,1024,C8E000,FFFC00,0,KI
C90000,C903FF,1024,C90000,FFFC00,0,VU
E00000,E3FFFF,262144,E00000,FC0000,0,AR
E14C31,E14C31,1,E14C31,FFFFFF,1,AR
E14C32,E14C32,1,E14C32,FFFFFF,1,AR
E14C33,E14C33,1,E14C33,FFFFFF,1,AR
E14C70,E14C70,1,E14C70,FFFFFF,1,AR
E40000,E7FFFF,262144,E40000,FC0000,0,BR
E40000,E41FFF,8192,E40000,FFE000,1,BR
E40005,E40005,1,E40005,FFFFFF,0,BR
E400AB,E400AB,1,E400AB,FFFFFF,0,BR
E400B8,E400B8,1,E400B8,FFFFFF,0,BR
E400C0,E400C0,1,E400C0,FFFFFF,0,BR
E400D4,E400D4,1,E400D4,FFFFFF,0,BR
E40125,E40125,1,E40125,FFFFFF,0,BR
E4012F,E4012F,1,E4012F,FFFFFF,0,BR
E40130,E40130,1,E40130,FFFFFF,0,BR
E40131,E40131,1,E40131,FFFFFF,0,BR
E40132,E40132,1,E40132,FFFFFF,0,BR
E40133,E40133,1,E40133,FFFFFF,0,BR
E40148,E40148,1,E40148,FFFFFF,0,BR
E4014B,E4014B,1,E4014B,FFFFFF,0,BR
E4014C,E4014C,1,E4014C,FFFFFF,0,BR
E4054C,E4054C,1,E4054C,FFFFFF,0,BR
E47DFE,E47DFE,1,E47DFE,FFFFFF,1,BR
E47E40,E47E40,1,E47E40,FFFFFF,1,BR
E481F6,E481F6,1,E481F6,FFFFFF,1,BR
E481F7,E481F7,1,E481F7,FFFFFF,1,BR
E482C2,E482C2,1,E482C2,FFFFFF,1,BR
E482C3,E482C3,1,E482C3,FFFFFF,1,BR
E483A8,E483A8,1,E483A8,FFFFFF,1,BR
E483AA,E483AA,1,E483AA,FFFFFF,1,BR
E483AB,E483AB,1,E483AB,FFFFFF,1,BR
E483BA,E483BA,1,E483BA,FFFFFF,1,BR
E483BB,E483BB,1,E483BB,FFFFFF,1,BR
E48443,E48443,1,E48443,FFFFFF,1,BR
E48444,E48444,1,E48444,FFFFFF,1,BR
E485E7,E485E7,1,E485E7,FFFFFF,1,BR
E485E8,E485E8,1,E485E8,FFFFFF,1,BR
E485E9,E485E9,1,E485E9,FFFFFF,1,BR
E4891F,E4891F,1,E4891F,FFFFFF,1,BR
E48920,E48920,1,E48920,FFFFFF,1,BR
E48921,E48921,1,E48921,FFFFFF,1,BR
E4896A,E4896A,1,E4896A,FFFFFF,1,BR
E489B9,E489B9,1,E489B9,FFFFFF,1,BR
E80000,E80FFF,4096,E80000,FFF000,0,CL
E80600,E806FF,256,E80600,FFFF00,1,CL
E84000,E84FFF,4096,E84000,FFF000,0,EC
E84030,E84030,1,E84030,FFFFFF,1,EC
E84035,E84035,1,E84035,FFFFFF,1,EC
E88000,E88FFF,4096,E88000,FFF000,0,PY
E8C000,E8CFFF,4096,E8C000,FFF000,0,PE
E8C007,E8C007,1,E8C007,FFFFFF,1,PE
E90000,E90FFF,4096,E90000,FFF000,0,UY
E94000,E94FFF,4096,E94000,FFF000,0,BO
E940FA,E940FA,1,E940FA,FFFFFF,1,BO
E94104,E94104,1,E94104,FFFFFF,1,BO
F00000,F07FFF,32768,F00000,FF8000,0,XA
F09000,F093FF,1024,F09000,FFFC00,0,XA
