ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
ADA167,N978AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,43348,2020
ADA16D,N978AR,CL60,Bombardier,Challenger 604,Bombardier Challenger 604,1,Private,,5502,2001
ADA293,N978NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,11356,2023
ADA51E,N979AK,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Alaska Airlines,ASA,43393,2019
ADA557,N979CS,CL35,Bombardier,Challenger 350,Bombardier Challenger 350,1,Private,,20898,2021
ADA5ED,N979JS,C750,Cessna,750 Citation 10,Cessna 750 Citation 10,0,flyExclusive,JRE,750-0225,2004
ADA64A,N979NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,11394,2023
ADA95E,N98FX,GLEX,Bombardier,Global Express XRS,Bombardier Global Express XRS,0,Flexjet,LXJ,9300,2008
ADA98C,N98HT,C56X,Cessna,560XL Citation XLS,Cessna 560XL Citation XLS,0,Aviation Advisor,,560-6099,2012
ADAC5A,N980NK,A20N,Airbus,A320-271N,Airbus A320-271N,0,Spirit Airlines,NKS,11331,2023
ADAF0D,N981C,LNC2,Lancair,360,Lancair 360,1,Private,,247-320-15,1993
ADAF42,N981EC,B738,Boeing,737-8,Boeing 737-8,1,Private,,43300,2019
