ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
4CAD50,EI-HDJ,AT76,ATR,72-600,ATR 72-600,0,Emerald Airlines,EAI,1324,2016
4CAD51,EI-HDK,AT76,ATR,72-600,ATR 72-600,0,Emerald Airlines,EAI,1334,2016
4CAD53,EI-HHJ,BCS3,Airbus,A220-300,Airbus A220-300,0,ITA Airways,ITY,55176,2022
4CAD54,EI-HGV,B38M,Boeing,737 MAX 8-200,Boeing 737 MAX 8-200,0,Ryanair,RYR,62329,2022
4CAD55,EI-HHK,BCS3,Airbus,A220-300,Airbus A220-300,0,ITA Airways,ITY,55177,2022
4CAD62,EJ-SCOT,GLF4,Gulfstream Aerospace,G450,Gulfstream Aerospace G450,1,Private,,4099,
4CAD64,EI-HMY,B38M,Boeing,737 MAX 8-200,Boeing 737 MAX 8-200,0,Ryanair,RYR,65897,2022
4CAD6D,EI-HDH,AT76,ATR,72-600,ATR 72-600,0,Emerald Airlines,EAI,1169,2014
4CAD71,EI-MCF,C172,Cessna,172R,Cessna 172R,0,National Flight Centre,,17280799,
4CAD7A,EI-NSA,A20N,Airbus,A320-251N,Airbus A320-251N,0,Aer Lingus,EIN,10712,2022
4CAD7B,EI-NSB,A320,Airbus,A320-251N,Airbus A320-251N,0,Aer Lingus,EIN,10786,2022
4CAD8D,EI-HGD,B739,Boeing,737-96N(ER),Boeing 737-96N(ER),0,SkyUp Airlines,SQP,36539,2008
4CAD9F,EI-HDI,AT72,ATR,72-600,ATR 72-600,0,Emerald Airlines,EAI,1087,2013
4CAE8E,EI-SID,A20N,Airbus,A320-251N,Airbus A320-251N,0,Scandinavian Airlines Connect,SZS,8031,2017
4CAF7E,EI-SIE,A20N,Airbus,A320-251N,Airbus A320-251N,0,Scandinavian Airlines Connect,SZS,8058,2017
4CAF82,EI-SIF,A20N,Airbus,A320-251N,Airbus A320-251N,0,Scandinavian Airlines Connect,SZS,8109,2017
4CAFCC,EI-SIG,A20N,Airbus,A320-251N,Airbus A320-251N,0,Scandinavian Airlines Connect,SZS,8333,2018
4CAFCD,EI-SIH,A20N,Airbus,A320-251N,Airbus A320-251N,0,Scandinavian Airlines Connect,SZS,8551,2018
4CAFCE,EI-SII,A20N,Airbus,A320-251N,Airbus A320-251N,0,Scandinavian Airlines Connect,SZS,8566,2018
4CAFD6,EI-GEC,CRJ9,Mitsubishi,CRJ-900LR,Mitsubishi CRJ-900LR,0,CityJet,BCY,15246,2009
