ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
ABD02D,N860PS,F2TH,Dassault,Falcon 2000LX,Dassault Falcon 2000LX,1,Private,,380,2021
ABD095,N860TW,C172,Cessna,172S Skyhawk SP,Cessna 172S Skyhawk SP,1,Private,,172S9220,2022
ABD2AA,N861BC,B772,Boeing,777-212(ER),Boeing 777-212(ER),0,Boeing,BOE,32336,2002
ABD336,N861GT,B748,Boeing,747-8F,Boeing 747-8F,0,Atlas Air,GTI,67148,2022
ABD6ED,N862GT,B748,Boeing,747-8F,Boeing 747-8F,0,Atlas Air,GTI,67149,2022
ABD72A,N862KD,M600,Piper,PA-46-M600,Piper PA-46-M600,1,Private,,4698244,2023
ABDAA4,N863GT,B748,Boeing,747-8F,Boeing 747-8F,0,Atlas Air,GTI,67150,2022
ABDDE6,N864CA,B350,Beech,300 (B300) Super King Air 350,Beech 300 (B300) Super King Air 350,1,Private,,FL-396,2021
ABDE63,N864HA,C550,Cessna,550 Citation II,Cessna 550 Citation II,1,Private,,550-0864,1999
ABDEC9,N864MC,C700,Cessna,700 Citation Longitude,Cessna 700 Citation Longitude,1,Private,,700-0090,2022
