ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
ABF0CA,N869FG,C172,Cessna,172 Skyhawk,Cessna 172 Skyhawk,1,Private,,172S10346,2006
ABF0DC,N869G,P28A,Piper,Archer TX,Piper Archer TX,0,ATP Flight School,CXK,2881468,2021
ABF1D9,N869SC,GLF4,Gulfstream,IV-SP,Gulfstream IV-SP,1,Private,,1236,1994
ABF254,N869XA,C208,Cessna,Grand Caravan,Cessna Grand Caravan,1,Private,,208B0869,2000
ABF47C,N87FB,S22T,Cirrus,SR22T,Cirrus SR22T,1,Private,,9587,2023
ABF59A,N87SN,C650,Cessna,650 Citation 7,Cessna 650 Citation 7,1,Private,,650-7089,1998
ABF5E9,N87VS,SF50,Cirrus,G2 Vision Jet,Cirrus G2 Vision Jet,1,Private,,0289,2021
ABF6D7,N870FD,B77L,Boeing,777-F,Boeing 777-F,0,Federal Express,FDX,40676,2021
ABF76A,N870MA,P28A,Piper,PA-28-181 Archer II,Piper PA-28-181 Archer II,1,Private,,28-7790529,
ABF7AC,N870PS,GLF6,Gulfstream,G650ER,Gulfstream G650ER,0,LBMA Equipment Services Inc,,6479,2021
ABFA8E,N871FD,B77L,Boeing,777-F,Boeing 777-F,0,Federal Express,FDX,66260,2022
ABFAA3,N871G,SR20,Cirrus,SR20,Cirrus SR20,1,Private,,9455,2023
ABFAC6,N871HK,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67775,2022
ABFB21,N871MA,P28A,Piper,PA-28-161 Warrior 2,Piper PA-28-161 Warrior 2,1,Private,,28-7916512,1979
ABFDF8,N872CB,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Southwest Airlines,SWA,67780,2022
ABFE45,N872FD,B77L,Boeing,777-F,Boeing 777-F,0,Federal Express,FDX,66262,2023
ABFF33,N872QS,C700,Cessna,700 Citation Longitude,Cessna 700 Citation Longitude,0,NetJets,EJA,700-0128,2024
