ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
ABA155,N849AN,B789,Boeing,787-9 Dreamliner,Boeing 787-9 Dreamliner,0,American Airlines,AAL,66018,2025
ABA1C9,N849FD,B77L,Boeing,777-F,Boeing 777-F,0,Federal Express,FDX,66259,2022
ABA2B7,N849QS,C700,Cessna,700 Citation Longitude,Cessna 700 Citation Longitude,0,NetJets,EJA,700-0101,2023
ABA306,N849TW,PC12,Pilatus,PC-12,Pilatus PC-12,0,Tradewind Aviation,GPD,1551,2015
ABA602,N85LJ,LJ60,Learjet,60,Learjet 60,1,Private,,60-244,2001
ABA628,N85MX,GLF4,Gulfstream,GIV-X (G450),Gulfstream GIV-X (G450),1,Private,,4228,2011
ABA7E2,N850FN,TBM8,Socata,TBM 850,Socata TBM 850,1,Private,,624,
ABA8FF,N850SY,B738,Boeing,737-8KN,Boeing 737-8KN,0,Sun Country Airlines,SCX,40265,2014
ABABE8,N851JS,C56X,Cessna,560XL Citation Excel,Cessna 560XL Citation Excel,1,Private,,560-5111,2000
ABAC65,N851PS,DA40,Diamond,DA40 NG,Diamond DA40 NG,1,Private,,40.NC205,2022
ABACB6,N851SY,B738,Boeing,737-8K5,Boeing 737-8K5,0,Sun Country Airlines,SCX,37256,2013
ABAD16,N851WU,GLF5,Gulfstream,G550,Gulfstream G550,1,Private,,5342,
