ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
AB5002,N828QS,C700,Cessna,700 Citation Longitude,Cessna 700 Citation Longitude,0,NetJets,EJA,700-0069,2022
AB53C3,N829RB,BE55,Beech,55 Baron,Beech 55 Baron,1,Private,,TC-2305,
AB56BA,N83HK,C550,Cessna,Citation S/II,Cessna Citation S/II,1,Private,,S550-0007,1984
AB57F7,N83WB,CL60,Bombardier,Challenger 650,Bombardier Challenger 650,1,Private,,6096,2017
AB57FC,N83WG,GLEX,Bombardier,700,Bombardier 700,1,Private,,9030,2022
AB58CA,N830EM,GL7T,Bombardier,BD-700 Global 7500,Bombardier BD-700 Global 7500,1,Private,,70170,2023
AB5900,N830GR,GLF4,Gulfstream,G450,Gulfstream G450,1,Private,,4259,2012
AB5902,N830GT,GLF5,Gulfstream,G550,Gulfstream G550,1,Private,,5237,2009
AB592B,N830JJ,GLEX,Bombaridier,Global 6000,Bombaridier Global 6000,1,Private,,9754,
AB5C6C,N831DR,F2TH,Dassault,Falcon 2000LX,Dassault Falcon 2000LX,0,Solairus Aviation,TWY,141,2008
AB5C9E,N831FR,GA6C,Gulfstream,G600,Gulfstream G600,0,Jet Aviation Flight Services,JAS,73072,2021
AB5CEE,N831JW,S22T,Cirrus,SR22T,Cirrus SR22T,1,Private,,8637,2022
AB5D62,N831PM,P28A,Piper,Archer TX,Piper Archer TX,1,Private,,2881735,2024
AB5FE9,N832BH,PC12,Pilatus,PC-12/45,Pilatus PC-12/45,1,Private,,508,
