Callsign,Code,Number,AirlineCode,AirportCodes
ECO1704,ECO,1704,ECO,SCEL-SLVR
ECO303,ECO,303,ECO,SLGY-SLVR-SLCB
ECO310,ECO,310,ECO,SLCB-SLRI
ECO871,ECO,871,ECO,SLVR-SLCB
ECO878,ECO,878,ECO,SLVR-SLCB
ECO890,ECO,890,ECO,SLVR-SLLP
ECO898,ECO,898,ECO,SLVR-SLLP
ECO942,ECO,942,ECO,SLLP-SLTR
ECO981,ECO,981,ECO,SLCB-SLVR
ECO983,ECO,983,ECO,SLLP-SLVR
