ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
7810A8,B-3233,GLF4,Gulfstream Aerospace,G450,Gulfstream Aerospace G450,0,Deer Jet Beijing,BDJ,4335,2014
7810C5,B-3246,GLEX,Bombardier,Global 6000,Bombardier Global 6000,0,ZYB Lily Jet,MZT,9712,2015
7810E4,B-3355,E55P,Embraer,Phenom 300,Embraer Phenom 300,0,Colorful Yunnan General Aviation,CYN,50500363,2016
7810E5,B-3356,E55P,Embraer,Phenom 300,Embraer Phenom 300,0,Colorful Yunnan General Aviation,CYN,50500392,2016
7810E8,B-8798,A319,Airbus,A319 133SL,Airbus A319 133SL,0,Sichuan Airlines,CSC,7711,2017
78113F,B-70PR,A119,Leonardo,AW119MKII,Leonardo AW119MKII,0,Shanghai Kingwing General Aviation,,14923,
781167,B-3253,GLF4,Gulfstream Aerospace,G450,Gulfstream Aerospace G450,0,Deer Jet Beijing,BDJ,4301,2013
781168,B-3239,GLF5,Gulfstream Aerospace,G550,Gulfstream Aerospace G550,0,Star Jet,CHJ,5553,2015
781184,B-3255,GLF6,Gulfstream Aerospace,G650,Gulfstream Aerospace G650,0,Deer Jet Beijing,BDJ,6181,2015
78118B,B-2571,B733,Boeing,737-39P(SF),Boeing 737-39P(SF),0,Longhao Airlines,LHA,29410,1998
7811AD,B-8665,A319,Airbus,A319 133SL,Airbus A319 133SL,0,Sichuan Airlines,CSC,7738,2017
7811AF,B-3268,FA7X,Dassault,Falcon 7X,Dassault Falcon 7X,0,Shanghai Deer Jet Company,DER,168,2012
7811B7,B-3269,GLF6,Gulfstream Aerospace,G650,Gulfstream Aerospace G650,0,Deer Jet Beijing,BDJ,6241,2016
7811BB,B-005C,A20N,Airbus,A-320neo,Airbus A-320neo,0,Airbus Industrie,AIB,,
7811BC,B-005D,A21N,Airbus,A321-271NX,Airbus A321-271NX,0,Airbus Industrie,AIB,,
7811BE,B-005F,A20N,Airbus,A320-271N,Airbus A320-271N,0,Airbus Industrie,AIB,,
7811BF,B-005G,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
7811C0,B-005H,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
7811C2,B-005K,A20N,Airbus,A321-271NX,Airbus A321-271NX,0,Airbus Industrie,AIB,,
7811C3,B-005L,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
7811C7,B-005Q,A359,Airbus,A350-941,Airbus A350-941,0,Airbus Industrie,AIB,,
7811CA,B-005T,A359,Airbus,A350-941,Airbus A350-941,0,Airbus Industrie,AIB,,
7811CB,B-005U,A359,Airbus,A350-941,Airbus A350-941,0,Airbus Industrie,AIB,,
7811CC,B-005V,A359,Airbus,A-350-900 XWB,Airbus A-350-900 XWB,0,Airbus Industrie,AIB,,
7811D5,B-3277,GLF6,Gulfstream Aerospace,G650,Gulfstream Aerospace G650,0,Brilliant Jet,TXJ,6159,2014
7811E8,B-3288,GLF6,Gulfstream Aerospace,G650,Gulfstream Aerospace G650,0,Sino Jet (Beijing) Company,JBE,6261,2016
7811E9,B-3270,FA7X,Dassault,Falcon 7X,Dassault Falcon 7X,0,Shanghai Deer Jet Company,DER,279,2016
781210,B-3276,GLF6,Gulfstream Aerospace,G650 ER,Gulfstream Aerospace G650 ER,0,Shanghai Deer Jet Company,DER,6266,2016
781224,B-001R,AJ27,Comac,ARJ-21-700,Comac ARJ-21-700,0,Comac,,,
781239,B-3278,GLF6,Gulfstream Aerospace,G650ER,Gulfstream Aerospace G650ER,0,Deer Jet Beijing,BDJ,6251,2016
781276,B-3388,AJ27,Comac,ARJ21-700CCF,Comac ARJ21-700CCF,0,Longhao Airlines,LHA,109,2018
78128E,B-3869,FA7X,Dassault,Falcon 7X,Dassault Falcon 7X,0,Shanghai Deer Jet Company,DER,109,2010
78129A,B-001S,AJ27,Comac,ARJ-21-700,Comac ARJ-21-700,0,Comac,,,
7812A9,B-001T,AJ27,Comac,ARJ-21-700,Comac ARJ-21-700,0,,,110,2017
7812BC,B-3271,GLF6,Gulfstream Aerospace,G650,Gulfstream Aerospace G650,0,Business Aviation Asia,UNA,6280,2017
7812D1,B-3333,FA7X,Dassault,Falcon 7X,Dassault Falcon 7X,0,Sino Jet (Beijing) Company,JBE,250,2014
7812E3,B-5999,GLF5,Gulfstream Aerospace,G550,Gulfstream Aerospace G550,0,Happy Jet (China Air Rescue),HYJ,5560,2015
7812FC,B-001U,AJ27,Comac,ARJ-21-700,Comac ARJ-21-700,0,Comac,,,
781333,B-3298,CRJ9,Bombardier,CRJ 900 LR NG,Bombardier CRJ 900 LR NG,0,China Express Airlines,HXA,15445,2018
78133C,B-001V,AJ27,Comac,ARJ-21-700,Comac ARJ-21-700,0,Comac,,,
78133E,B-3275,GLF5,Gulfstream Aerospace,G550,Gulfstream Aerospace G550,0,Baoneng Business Aviation,BNH,5564,2017
781340,B-3325,GLF6,Gulfstream Aerospace,G650,Gulfstream Aerospace G650,0,Shanghai Deer Jet Company,DER,6299,2017
781356,B-10SZ,K100,Quest,Kodiak 100,Quest Kodiak 100,0,Jiangsu Delta General Aviation,,100-0217,2017
781357,B-10QZ,K100,Quest,Kodiak 100,Quest Kodiak 100,0,Jiangsu Delta General Aviation,,100-0221,
78136C,B-1071,A320,Airbus,A320-214,Airbus A320-214,0,Chengdu Airlines,UEA,8066,2018
781372,B-1262,B738,Boeing,737NG 800/W,Boeing 737NG 800/W,0,China United Airlines,CUA,63059,2018
781374,B-1265,B738,Boeing,737NG 800/W,Boeing 737NG 800/W,0,China United Airlines,CUA,63065,2018
781381,B-001W,AJ27,Comac,ARJ-21-700,Comac ARJ-21-700,0,Comac,,,
7813EC,B-3328,AJ27,Comac,ARJ-21 700 Medevac,Comac ARJ-21 700 Medevac,0,COMAC Express,CCS,111,2018
7813ED,B-3329,AJ27,Comac,ARJ21-700(F),Comac ARJ21-700(F),0,YTO Cargo Airlines,HYT,112,2018
7813F3,B-001X,AJ27,Comac,ARJ-21-700,Comac ARJ-21-700,0,Comac,,,
78142B,B-3358,GLF5,Gulfstream Aerospace,G550,Gulfstream Aerospace G550,0,Business Aviation Asia,UNA,5566,2017
78142D,B-3389,GLEX,Bombardier,BD-700- 1A10,Bombardier BD-700- 1A10,0,Amber Aviation,TCI,9422,2010
781469,B-10KL,B350,Beech,Super King Air 350,Beech Super King Air 350,0,AVIC Zhuhai  General Aviation,,FL-1045,2016
781479,B-300V,A333,Airbus,A330 343E,Airbus A330 343E,0,Sichuan Airlines,CSC,1885,2018
78147D,B-007A,A20N,Airbus,A320-271N,Airbus A320-271N,0,Airbus Industrie,AIB,,
78147E,B-007C,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
78147F,B-007D,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
781480,B-007E,A19N,Airbus,A319-153N,Airbus A319-153N,0,Airbus Industrie,AIB,,
781481,B-007F,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
781482,B-007G,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
781483,B-007H,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
781484,B-007J,A21N,Airbus,A321-253NX,Airbus A321-253NX,0,Airbus Industrie,AIB,,
781485,B-007K,A20N,Airbus,A320-271N,Airbus A320-271N,0,Airbus Industrie,AIB,,
781486,B-007L,A20N,Airbus,A320-271N,Airbus A320-271N,0,Airbus Industrie,AIB,,
781487,B-007M,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
781488,B-007N,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
781489,B-007P,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
78148A,B-007Q,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
78148B,B-007R,A20N,Airbus,A320-271N,Airbus A320-271N,0,Airbus Industrie,AIB,,
78148C,B-007S,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
78148D,B-007T,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
78148E,B-007U,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
78148F,B-007V,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
781490,B-007W,A20N,Airbus,A319-153N,Airbus A319-153N,0,Airbus Industrie,AIB,,
781491,B-007X,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
781492,B-007Y,A20N,Airbus,A320-251N,Airbus A320-251N,0,Airbus Industrie,AIB,,
781495,B-001Y,AJ27,Comac,ARJ-21-700,Comac ARJ-21-700,0,Comac,,,
781517,B-001H,AJ27,Comac,ARJ-21-700,Comac ARJ-21-700,0,Comac,,,
781518,B-001J,C919,Comac,C919,Comac C919,0,Comac,,,
781519,B-001K,C919,Comac,C-919,Comac C-919,0,Comac,,,
78151A,B-001L,AJ27,Comac,ARJ-21-700,Comac ARJ-21-700,0,Comac,,,
