ICAO,Manufacturer,Model,Engines,EngineTypeCode,EnginePlacementCode,SpeciesCode,WakeTurbulenceCode,IsActive
H111,CASA,2-111,2,P,,L,M,1
H111,Heinkel,He-111,2,P,,L,M,1
H12T,Hiller,UH-12E3T,1,T,,H,L,1
H12T,Hiller,UH-12E4T,1,T,,H,L,1
H12T,Hiller,UH-12ET,1,T,,H,L,1
H12T,Soloy,Hiller UH-12,1,T,,H,L,1
H160,Airbus Helicopters,H-160,2,T,,H,L,1
H2,Kaman,K-20 Seasprite,2,T,,H,L,1
H2,Kaman,K-894 Super Seasprite,2,T,,H,L,1
H2,Kaman,Seasprite,2,T,,H,L,1
H2,Kaman,SH-2 Seasprite,2,T,,H,L,1
H2,Kaman,SH-2 Super Seasprite,2,T,,H,L,1
H2,Kaman,Super Seasprite,2,T,,H,L,1
H2,Kaman,K-20 Seaprite,2,T,,H,L,0
H2,Kaman,Seaprite,2,T,,H,L,0
H202,HB-Aircraft,Fledger,1,P,,L,L,1
H202,HB-Aircraft,HB-202 Fledger,1,P,,L,L,1
H204,HB-Flugtechnik,HB-204 Tornado,1,P,,L,L,1
H204,HB-Flugtechnik,Tornado,1,P,,L,L,1
H207,HB-Flugtechnik,Alfa,1,P,,L,L,1
H207,HB-Flugtechnik,HB-207 Alfa,1,P,,L,L,1
H21,Vertol,42 Work Horse,1,P,,H,L,1
H21,Vertol,CH-21 Work horse,1,P,,H,L,1
H21,Vertol,Work Horse,1,P,,H,L,1
H25A,De Havilland,DH-125,2,J,A,L,M,1
H25A,Hawker Siddeley,Dominie,2,J,A,L,M,1
H25A,Hawker Siddeley,EC-93,2,J,A,L,M,1
H25A,Hawker Siddeley,EU-93,2,J,A,L,M,1
H25A,Hawker Siddeley,HS-125-1,2,J,A,L,M,1
H25A,Hawker Siddeley,HS-125-2 Dominie,2,J,A,L,M,1
H25A,Hawker Siddeley,HS-125-3,2,J,A,L,M,1
H25A,Hawker Siddeley,HS-125-400,2,J,A,L,M,1
H25A,Hawker Siddeley,HS-125-600,2,J,A,L,M,1
H25A,Hawker Siddeley,VC-93,2,J,A,L,M,1
H25A,Hawker Siddeley,VU-93,2,J,A,L,M,1
H25B,British Aerospace,BAe-125-700,2,J,A,L,M,1
H25B,British Aerospace,BAe-125-800,2,J,A,L,M,1
H25B,British Aerospace,C-29,2,J,A,L,M,1
H25B,British Aerospace,U-125,2,J,A,L,M,1
H25B,Hawker Beechcraft,Hawker 750,2,J,A,L,M,1
H25B,Hawker Beechcraft,Hawker 800,2,J,A,L,M,1
H25B,Hawker Beechcraft,Hawker 850,2,J,A,L,M,1
H25B,Hawker Beechcraft,Hawker 900,2,J,A,L,M,1
H25B,Hawker Siddeley,HS-125-700,2,J,A,L,M,1
H25B,Raytheon,Hawker 800,2,J,A,L,M,1
H25B,Raytheon,Hawker 850,2,J,A,L,M,1
H25B,Raytheon,U-125,2,J,A,L,M,1
H25B,Hawker Beechcraft,Hawker 800,2,J,A,L,L,0
H25C,British Aerospace,BAe-125-1000,2,J,,L,M,1
H25C,Raytheon,Hawker 1000,2,J,,L,M,1
H269,BredaNardi,NH-300,1,P,,H,L,1
H269,Hughes,200,1,P,,H,L,1
H269,Hughes,269,1,P,,H,L,1
H269,Hughes,269 Sky Knight,1,P,,H,L,1
H269,Hughes,280,1,P,,H,L,1
H269,Hughes,300,1,P,,H,L,1
H269,Hughes,300 Sky Knight,1,P,,H,L,1
H269,Hughes,Hkp5,1,P,,H,L,1
H269,Hughes,Osage,1,P,,H,L,1
H269,Hughes,Sky Knight,1,P,,H,L,1
H269,Hughes,TH-300,1,P,,H,L,1
H269,Hughes,TH-55 Osage,1,P,,H,L,1
H269,Kawasaki,TH-55,1,P,,H,L,1
H269,Nardi,NH-300,1,P,,H,L,1
H269,Schweizer,269,1,P,,H,L,1
H269,Schweizer,269A,1,P,,H,L,1
H269,Schweizer,269B,1,P,,H,L,1
H269,Schweizer,269C,1,P,,H,L,1
H269,Schweizer,269C Sky Knight,1,P,,H,L,1
H269,Schweizer,300,1,P,,H,L,1
