ICAO,Manufacturer,Model,Engines,EngineTypeCode,EnginePlacementCode,SpeciesCode,WakeTurbulenceCode,IsActive
S05F,SIAI-Marchetti,S-205-18F,1,P,,L,L,1
S05F,SIAI-Marchetti,S-205-20F,1,P,,L,L,1
S05R,SIAI-Marchetti,S-205-18R,1,P,,L,L,1
S05R,SIAI-Marchetti,S-205-20R,1,P,,L,L,1
S05R,SIAI-Marchetti,S-205-22R,1,P,,L,L,1
S1,Arctic,Arctic Tern,1,P,,L,L,1
S1,Arctic,S-1 Arctic Tern,1,P,,L,L,1
S1,Callair,S-1,1,P,,L,L,1
S1,Interstate,Arctic Tern,1,P,,L,L,1
S1,Interstate,Cadet,1,P,,L,L,1
S1,Interstate,L-6 Cadet,1,P,,L,L,1
S1,Interstate,S-1,1,P,,L,L,1
S1,Interstate,S-1 Arctic Tern,1,P,,L,L,1
S1,Interstate,S-1 Cadet,1,P,,L,L,1
S10,Stinson,10 Voyager,1,P,,L,L,1
S10,Stinson,105,1,P,,L,L,1
S10,Stinson,HW-75,1,P,,L,L,1
S10,Stinson,HW-80,1,P,,L,L,1
S10,Stinson,Voyager (10),1,P,,L,L,1
S107,Spratt,107,1,P,,S,L,1
S108,Piper,108 Station Wagon,1,P,,L,L,1
S108,Piper,108 Voyager,1,P,,L,L,1
S108,Piper,Station Wagon,1,P,,L,L,1
S108,Piper,Voyager,1,P,,L,L,1
S108,Stinson,108 Station Wagon,1,P,,L,L,1
S108,Stinson,108 Voyager,1,P,,L,L,1
S108,Stinson,Station Wagon,1,P,,L,L,1
S108,Stinson,Voyager (108),1,P,,L,L,1
S10S,Stemme,Chrysalis,1,P,,L,L,1
S10S,Stemme,S-10,1,P,,L,L,1
S10S,Stemme,S-10 Chrysalis,1,P,,L,L,1
S10S,Stemme,TG-11,1,P,,L,L,0
S11,Fokker,Instructor,1,P,,L,L,1
S11,Fokker,S-11 Instructor,1,P,,L,L,1
S12,Spencer,Air Car,1,P,,A,L,1
S12,Spencer,S-12 Air Car,1,P,,A,L,1
S122,Skyline,Pchelka,2,P,,L,L,1
S122,Skyline,SL-122 Pchelka,2,P,,L,L,1
S122,Skyline,SL-122  Pchelka,2,P,,L,L,0
S12S,Stemme,S-12 Twin Voyager,1,P,,L,L,1
S12S,Stemme,Twin Voyager,1,P,,L,L,1
S15S,Stemme,S-15,1,P,,L,L,1
S15U,SAFRAN,Patroller,1,P,,L,L,1
S15U,SAFRAN,S-15 Patroller,1,P,,L,L,1
S15U,Stemme,Patroller,1,P,,L,L,1
S15U,Stemme,S-15 Patroller,1,P,,L,L,1
S200,SIPA,Minijet,1,J,,L,L,1
S200,SIPA,S-200 Minijet,1,J,,L,L,1
S202,SGAU,S-202,2,P,,A,L,1
S208,SIAI-Marchetti,S-208,1,P,,L,L,1
S21,MacDonald,S-21,1,P,,L,L,1
S210,Aerospatiale,Caravelle,2,J,,L,M,0
S210,Aerospatiale,SE-210 Caravelle,2,J,,L,M,0
S210,Sud,Caravelle,2,J,,L,M,0
S210,Sud,SE-210 Caravelle,2,J,,L,M,0
S210,Sud,Tp85 Caravelle,2,J,,L,M,0
S210,Sud-Est,Caravelle,2,J,,L,M,0
S210,Sud-Est,SE-210 Caravelle,2,J,,L,M,0
S211,PADC,S-211,1,J,,L,L,1
S211,SIAI-Marchetti,S-211,1,J,,L,L,1
S211,Singapore,S-211,1,J,,L,L,1
S211,SIAI-Marchetti,M-311,1,J,,L,L,0
S223,CASA,223 Flamingo,1,P,,L,L,1
S223,CASA,Flamingo,1,P,,L,L,1
S223,Hispano,223 Flamingo,1,P,,L,L,1
S223,Hispano,Flamingo,1,P,,L,L,1
S223,MBB,223 Flamingo,1,P,,L,L,1
S223,MBB,Flamingo,1,P,,L,L,1
S223,Messerschmitt-Bolkow,223 Flamingo,1,P,,L,L,1
S223,Messerschmitt-Bolkow,Flamingo,1,P,,L,L,1
S223,SIAT,223 Flamingo,1,P,,L,L,1
S223,SIAT,Flamingo,1,P,,L,L,1
S22T,Cirrus,SR-22 Turbo,1,P,,L,L,1
S22T,Cirrus,SR-22T,1,P,,L,L,1
S274,IRGC,Shahed 274,1,T,,H,L,1
S278,HESA,Shahed 278,1,T,,H,L,1
S278,HESA,Shahed OH-78,1,T,,H,L,1
S285,HESA,Shahed 285,1,T,,H,L,1
S285,HESA,Shahed AH-85,1,T,,H,L,1
S2P,Conair,Firecat,2,P,,L,M,1
S2P,De Havilland Canada,CS2F Tracker,2,P,,L,M,1
S2P,De Havilland Canada,S-2 Tracker,2,P,,L,M,1
S2P,De Havilland Canada,Tracker,2,P,,L,M,1
S2P,Grumman,G-89 Tracker,2,P,,L,M,1
S2P,Grumman,P-16 Tracker,2,P,,L,M,1
S2P,Grumman,S-2 Tracker,2,P,,L,M,1
